Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
143,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23162.25,23167.25,9/2/2025 9:47:00 AM,9/2/2025 9:47:00 AM,NEX_Long,Profit target,$94.24,($2923.68),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
144,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23062.75,23059.75,9/2/2025 11:44:00 AM,9/2/2025 11:44:00 AM,NEX_Long,Stop loss,($65.76),($2989.44),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
145,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23073.00,23068.00,9/2/2025 12:26:00 PM,9/2/2025 12:26:00 PM,NEX_Short,Profit target,$94.24,($2895.20),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
146,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23176.50,23171.50,9/2/2025 2:25:00 PM,9/2/2025 2:27:00 PM,NEX_Short,Profit target,$94.24,($2800.96),$5.76,$0.00,$0.00,$0.00,$0.00,$135.00,$100.00,$5.76,3,
147,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23411.25,23416.00,9/3/2025 9:32:00 AM,9/3/2025 9:32:00 AM,NEX_Short,Stop loss,($100.76),($2901.72),$5.76,$0.00,$0.00,$0.00,$0.00,$95.00,$0.00,$100.76,1,
148,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23404.50,23401.50,9/3/2025 9:51:00 AM,9/3/2025 9:51:00 AM,NEX_Long,Stop loss,($65.76),($2967.48),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
149,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23429.00,23429.00,9/3/2025 10:07:00 AM,9/3/2025 10:07:00 AM,NEX_Short,Stop loss,($5.76),($2973.24),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
150,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23476.75,23476.75,9/3/2025 10:39:00 AM,9/3/2025 10:39:00 AM,NEX_Short,Stop loss,($5.76),($2979.00),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
151,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23504.50,23504.50,9/3/2025 10:47:00 AM,9/3/2025 10:47:00 AM,NEX_Short,Stop loss,($5.76),($2984.76),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
152,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23478.00,23478.00,9/4/2025 9:54:00 AM,9/4/2025 9:54:00 AM,NEX_Short,Stop loss,($5.76),($2990.52),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
153,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23425.25,23422.25,9/4/2025 10:19:00 AM,9/4/2025 10:19:00 AM,NEX_Long,Stop loss,($65.76),($3056.28),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
154,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23549.50,23549.50,9/4/2025 11:30:00 AM,9/4/2025 11:30:00 AM,NEX_Short,Stop loss,($5.76),($3062.04),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
155,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23555.00,23555.00,9/4/2025 12:53:00 PM,9/4/2025 12:53:00 PM,NEX_Short,Stop loss,($5.76),($3067.80),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
156,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23558.50,23558.50,9/4/2025 12:57:00 PM,9/4/2025 12:57:00 PM,NEX_Short,Stop loss,($5.76),($3073.56),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
157,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23852.75,23852.75,9/5/2025 9:32:00 AM,9/5/2025 9:32:00 AM,NEX_Short,Stop loss,($5.76),($3079.32),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
158,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23836.50,23841.50,9/5/2025 9:41:00 AM,9/5/2025 9:41:00 AM,NEX_Long,Profit target,$94.24,($2985.08),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
159,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23588.75,23585.75,9/5/2025 10:51:00 AM,9/5/2025 10:51:00 AM,NEX_Long,Stop loss,($65.76),($3050.84),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
160,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23531.25,23528.25,9/5/2025 11:05:00 AM,9/5/2025 11:05:00 AM,NEX_Long,Stop loss,($65.76),($3116.60),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
161,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23607.75,23607.75,9/5/2025 11:27:00 AM,9/5/2025 11:27:00 AM,NEX_Short,Stop loss,($5.76),($3122.36),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
162,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23662.25,23662.25,9/5/2025 11:46:00 AM,9/5/2025 11:46:00 AM,NEX_Short,Stop loss,($5.76),($3128.12),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
163,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23628.50,23633.50,9/5/2025 11:56:00 AM,9/5/2025 11:56:00 AM,NEX_Long,Profit target,$94.24,($3033.88),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
164,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23613.50,23613.50,9/5/2025 12:57:00 PM,9/5/2025 12:57:00 PM,NEX_Short,Stop loss,($5.76),($3039.64),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
165,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23632.50,23627.50,9/5/2025 1:34:00 PM,9/5/2025 1:34:00 PM,NEX_Short,Profit target,$94.24,($2945.40),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
166,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23667.50,23667.50,9/5/2025 3:17:00 PM,9/5/2025 3:17:00 PM,NEX_Short,Stop loss,($5.76),($2951.16),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
167,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23674.50,23679.50,9/5/2025 3:23:00 PM,9/5/2025 3:24:00 PM,NEX_Long,Profit target,$94.24,($2856.92),$5.76,$0.00,$0.00,$0.00,$0.00,$55.00,$100.00,$5.76,2,
168,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23788.25,23793.25,9/8/2025 9:32:00 AM,9/8/2025 9:32:00 AM,NEX_Long,Profit target,$94.24,($2762.68),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
169,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23871.75,23871.75,9/8/2025 9:59:00 AM,9/8/2025 9:59:00 AM,NEX_Short,Stop loss,($5.76),($2768.44),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
170,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23870.50,23865.50,9/8/2025 10:33:00 AM,9/8/2025 10:33:00 AM,NEX_Short,Profit target,$94.24,($2674.20),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
171,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23876.50,23876.50,9/8/2025 10:51:00 AM,9/8/2025 10:51:00 AM,NEX_Short,Stop loss,($5.76),($2679.96),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
172,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23873.00,23870.00,9/8/2025 10:57:00 AM,9/8/2025 10:57:00 AM,NEX_Long,Stop loss,($65.76),($2745.72),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
173,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23867.75,23864.75,9/8/2025 11:10:00 AM,9/8/2025 11:10:00 AM,NEX_Long,Stop loss,($65.76),($2811.48),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
174,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23846.25,23846.25,9/8/2025 12:14:00 PM,9/8/2025 12:14:00 PM,NEX_Short,Stop loss,($5.76),($2817.24),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
175,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23786.75,23786.75,9/8/2025 3:05:00 PM,9/8/2025 3:05:00 PM,NEX_Short,Stop loss,($5.76),($2823.00),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
176,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23845.25,23850.25,9/9/2025 9:33:00 AM,9/9/2025 9:33:00 AM,NEX_Long,Profit target,$94.24,($2728.76),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
177,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23795.50,23795.50,9/9/2025 12:07:00 PM,9/9/2025 12:07:00 PM,NEX_Short,Stop loss,($5.76),($2734.52),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
178,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23821.50,23818.50,9/9/2025 12:43:00 PM,9/9/2025 12:43:00 PM,NEX_Long,Stop loss,($65.76),($2800.28),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
179,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23837.75,23837.75,9/9/2025 1:53:00 PM,9/9/2025 1:53:00 PM,NEX_Short,Stop loss,($5.76),($2806.04),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
180,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23848.00,23845.00,9/9/2025 2:57:00 PM,9/9/2025 2:58:00 PM,NEX_Long,Stop loss,($65.76),($2871.80),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$5.00,$70.76,2,
181,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23856.50,23856.50,9/9/2025 3:31:00 PM,9/9/2025 3:31:00 PM,NEX_Short,Stop loss,($5.76),($2877.56),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
182,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23943.25,23940.25,9/10/2025 9:32:00 AM,9/10/2025 9:32:00 AM,NEX_Long,Stop loss,($65.76),($2943.32),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
183,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23954.00,23954.00,9/10/2025 9:38:00 AM,9/10/2025 9:38:00 AM,NEX_Short,Stop loss,($5.76),($2949.08),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
184,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23968.75,23968.75,9/10/2025 10:09:00 AM,9/10/2025 10:09:00 AM,NEX_Short,Stop loss,($5.76),($2954.84),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
185,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23926.25,23926.25,9/10/2025 12:09:00 PM,9/10/2025 12:09:00 PM,NEX_Short,Stop loss,($5.76),($2960.60),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
186,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23908.50,23905.50,9/10/2025 12:52:00 PM,9/10/2025 12:52:00 PM,NEX_Long,Stop loss,($65.76),($3026.36),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
187,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23980.00,23977.00,9/11/2025 9:32:00 AM,9/11/2025 9:32:00 AM,NEX_Long,Stop loss,($65.76),($3092.12),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
188,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23972.75,23969.75,9/11/2025 9:58:00 AM,9/11/2025 9:58:00 AM,NEX_Long,Stop loss,($65.76),($3157.88),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
189,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23986.50,23986.50,9/11/2025 10:11:00 AM,9/11/2025 10:11:00 AM,NEX_Short,Stop loss,($5.76),($3163.64),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
190,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23964.00,23964.00,9/11/2025 10:15:00 AM,9/11/2025 10:15:00 AM,NEX_Short,Stop loss,($5.76),($3169.40),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
191,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24010.00,24010.00,9/11/2025 10:43:00 AM,9/11/2025 10:43:00 AM,NEX_Short,Stop loss,($5.76),($3175.16),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
192,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24047.75,24044.75,9/12/2025 9:32:00 AM,9/12/2025 9:32:00 AM,NEX_Long,Stop loss,($65.76),($3240.92),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
193,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24041.25,24041.25,9/12/2025 9:59:00 AM,9/12/2025 9:59:00 AM,NEX_Short,Stop loss,($5.76),($3246.68),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
194,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24068.25,24068.25,9/12/2025 10:29:00 AM,9/12/2025 10:29:00 AM,NEX_Short,Stop loss,($5.76),($3252.44),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
195,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24083.00,24083.00,9/12/2025 10:38:00 AM,9/12/2025 10:38:00 AM,NEX_Short,Stop loss,($5.76),($3258.20),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
196,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24076.75,24076.75,9/12/2025 10:42:00 AM,9/12/2025 10:42:00 AM,NEX_Short,Stop loss,($5.76),($3263.96),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
197,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24192.00,24192.00,9/15/2025 9:35:00 AM,9/15/2025 9:35:00 AM,NEX_Short,Stop loss,($5.76),($3269.72),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
198,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24213.50,24213.50,9/15/2025 9:41:00 AM,9/15/2025 9:41:00 AM,NEX_Short,Stop loss,($5.76),($3275.48),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
199,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24215.75,24215.75,9/15/2025 9:44:00 AM,9/15/2025 9:44:00 AM,NEX_Short,Stop loss,($5.76),($3281.24),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
200,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24238.75,24238.75,9/15/2025 9:54:00 AM,9/15/2025 9:54:00 AM,NEX_Short,Stop loss,($5.76),($3287.00),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
201,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24278.25,24278.25,9/15/2025 11:55:00 AM,9/15/2025 11:55:00 AM,NEX_Short,Stop loss,($5.76),($3292.76),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
202,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24342.00,24339.00,9/16/2025 9:32:00 AM,9/16/2025 9:32:00 AM,NEX_Long,Stop loss,($65.76),($3358.52),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
203,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24311.75,24308.75,9/16/2025 9:48:00 AM,9/16/2025 9:48:00 AM,NEX_Long,Stop loss,($65.76),($3424.28),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
204,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24294.75,24299.75,9/16/2025 10:15:00 AM,9/16/2025 10:15:00 AM,NEX_Long,Profit target,$94.24,($3330.04),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
205,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24267.75,24272.75,9/16/2025 11:45:00 AM,9/16/2025 11:46:00 AM,NEX_Long,Profit target,$94.24,($3235.80),$5.76,$0.00,$0.00,$0.00,$0.00,$50.00,$100.00,$5.76,2,
206,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24268.50,24268.00,9/16/2025 12:09:00 PM,9/16/2025 12:09:00 PM,NEX_Long,Stop loss,($15.76),($3251.56),$5.76,$0.00,$0.00,$0.00,$0.00,$10.00,$0.00,$15.76,1,
207,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24284.50,24279.50,9/17/2025 9:33:00 AM,9/17/2025 9:33:00 AM,NEX_Short,Profit target,$94.24,($3157.32),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
208,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24165.25,24165.25,9/17/2025 12:04:00 PM,9/17/2025 12:04:00 PM,NEX_Short,Stop loss,($5.76),($3163.08),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
209,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24168.75,24168.75,9/17/2025 12:07:00 PM,9/17/2025 12:07:00 PM,NEX_Long,Stop loss,($5.76),($3168.84),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
210,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24168.75,24168.75,9/17/2025 1:31:00 PM,9/17/2025 1:31:00 PM,NEX_Long,Stop loss,($5.76),($3174.60),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
211,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24084.25,24084.25,9/17/2025 2:45:00 PM,9/17/2025 2:45:00 PM,NEX_Long,Stop loss,($5.76),($3180.36),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
212,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24453.50,24453.50,9/18/2025 9:39:00 AM,9/18/2025 9:39:00 AM,NEX_Short,Stop loss,($5.76),($3186.12),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
213,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,24398.50,24403.50,9/18/2025 9:44:00 AM,9/18/2025 9:44:00 AM,NEX_Long,Profit target,$94.24,($3091.88),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
214,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,24501.50,24501.50,9/18/2025 10:13:00 AM,9/18/2025 10:13:00 AM,NEX_Short,Stop loss,($5.76),($3097.64),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.76,1,
